ep_info,queen_id,season,contestant,rank,real_name,age,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,hometown,url_end
NA,92,8,Naomi Smalls,2nd/3rd (Runners-Up),Davis Heppenstall,21,LOW,SAFE,SAFE Team Captain,HIGH TEAM,BTM2,WIN,HIGH,HIGH,TOP 3,RUNNER UP,NA,NA,NA,NA,NA,NA,"Redlands, CA",Naomi_Smalls
NA,93,8,Chi Chi DeVayne,4th,Zavion Davenport,29,SAFE,WIN Team Captain,SAFE,BTM2,SAFE,LOW,BTM2,HIGH Mini Chall. Winner,ELIM,GUEST,NA,NA,NA,NA,NA,NA,"Shreveport, LA",Chi_Chi_DeVayne
NA,94,8,Derrick Barry,5th,Derrick Barry,32,HIGH,SAFE,LOW,LOW,HIGH,BTM2,WIN Mini Chall. Winner,ELIM,,GUEST,NA,NA,NA,NA,NA,NA,"Las Vegas, NV",Derrick_Barry
NA,95,8,Thorgy Thor,6th,Shane Galligan,31,SAFE,HIGH,HIGH,SAFE,HIGH,SAFE,ELIM,,,GUEST,NA,NA,NA,NA,NA,NA,"Brooklyn, NY",Thorgy_Thor
NA,96,8,Robbie Turner,7th,Jeremy Baird,33,LOW Mini Chall. Winner,SAFE,BTM2,WIN,LOW,ELIM,,,,GUEST,NA,NA,NA,NA,NA,NA,"Seattle, WA",Robbie_Turner
NA,97,8,Acid Betty,8th,Jamin Ruhren,38,HIGH,HIGH,HIGH,SAFE,ELIM,,,,,GUEST,NA,NA,NA,NA,NA,NA,"Brooklyn, NY",Acid_Betty
NA,98,8,Naysha Lopez,9th (orig. 12th),Fabian Rodriguez,31,ELIM,,RTRN + SAFE Team Captain,ELIM,,,,,,GUEST,NA,NA,NA,NA,NA,NA,"Chicago, IL",Naysha_Lopez
NA,99,8,Cynthia Lee Fontaine,10th (Miss Congeniality),Carlos Hernandez,34,SAFE,SAFE Team Captain,ELIM,,,,,,,MISS CON,NA,NA,NA,NA,NA,NA,"Austin, TX",Cynthia_Lee_Fontaine
NA,100,8,Dax ExclamationPoint,11th/12th (Double Elim.),Dax Martin,31,SAFE,ELIM,,,,,,,,GUEST,NA,NA,NA,NA,NA,NA,"Savannah, GA",Dax_ExclamationPoint
NA,101,8,Laila McQueen,11th/12th (Double Elim.),Tyler Devlin,22,BTM2,ELIM,,,,,,,,GUEST,NA,NA,NA,NA,NA,NA,"Gloucester, MA",Laila_McQueen
NA,102,9,Sasha Velour,1st (Winner),Alexander Steinberg,29,HIGH,SAFE,SAFE,WIN,SAFE,HIGH,LOW,HIGH,WIN,HIGH,HIGH Mini Chall. Winner,TOP 4,RUNNING,WINNER,NA,NA,"Brooklyn, NY",Sasha_Velour
NA,103,9,Peppermint,2nd (Runner-Up),Peppermint,37,SAFE,SAFE,HIGH,LOW,HIGH,BTM2,SAFE,WIN,HIGH,SAFE,BTM2,TOP 4,RUNNING,LOST 3RD ROUND,NA,NA,"New York, NY",Peppermint
NA,104,9,Shea Couleé,3rd/4th,Jaren Kyei Merrell,27,SAFE,HIGH,SAFE,WIN,WIN,SAFE,HIGH,HIGH,WIN,BTM2,WIN,TOP 4,RUNNING,LOST 2ND ROUND,NA,NA,"Chicago, IL",Shea_Couleé
NA,105,9,Trinity Taylor,3rd/4th,Ryan Taylor,31,SAFE,HIGH,WIN,BTM2 Team Captain,SAFE,SAFE,WIN,LOW,HIGH,WIN,SAFE,TOP 4,RUNNING,LOST 1ST ROUND,NA,NA,"Orlando, FL",Trinity_Taylor
NA,106,9,Alexis Michelle,5th,Alex Michaels,33,SAFE,SAFE,SAFE,HIGH TEAM,HIGH Mini Chall. Winner,WIN,SAFE,BTM2,LOW,LOW,ELIM,,GUEST,GUEST,NA,NA,"New York, NY",Alexis_Michelle
NA,107,9,Nina Bo'Nina Brown,6th,Pierre Leverne Dease,34,WIN,SAFE Team Captain,SAFE,HIGH,LOW,HIGH,BTM2,SAFE,BTM2,ELIM,,,GUEST,GUEST,NA,NA,"Atlanta, GA",Nina_Bo%27Nina_Brown
NA,108,9,Valentina,7th (Miss Congeniality),James Leyva,25,SAFE,WIN,HIGH,HIGH TEAM,SAFE,SAFE,HIGH,SAFE Mini Chall. Winner,ELIM,,,,MISS CON,GUEST,NA,NA,"Echo Park, CA",Valentina
NA,109,9,Farrah Moan,8th,Cameron Clayton,23,SAFE,SAFE,LOW,HIGH TEAM,BTM2,LOW,SAFE,ELIM,,,,,GUEST,GUEST,NA,NA,"Las Vegas, NV",Farrah_Moan
NA,110,9,Aja,9th,Jay Rivera,22,SAFE,SAFE,BTM2,HIGH TEAM Team Captain,SAFE,SAFE,ELIM,,,,,,GUEST,GUEST,NA,NA,"Brooklyn, NY",Aja
NA,99,9,Cynthia Lee Fontaine,10th,Carlos Hernandez,35,,SAFE Team Captain,SAFE,SAFE,BTM2,ELIM,,,,,,,GUEST,GUEST,NA,NA,"Austin, TX",Cynthia_Lee_Fontaine
NA,111,9,Eureka,11th (Dept.),David Huggard,25,HIGH,SAFE,SAFE,HIGH,SAFE + DEPT,,,,,,,,GUEST,GUEST,NA,NA,"Johnson City, TN",Eureka
NA,112,9,Charlie Hides,12th,Charlie Hides,52,SAFE,LOW,SAFE,ELIM,,,,,,,,,GUEST,GUEST,NA,NA,"London, UK",Charlie_Hides
NA,113,9,Kimora Blac,13th,Von Nguyen,28,SAFE,BTM2,ELIM,,,,,,,,,,GUEST,GUEST,NA,NA,"Las Vegas, NV",Kimora_Blac
NA,114,9,Jaymes Mansfield,14th,James Wirth,26,SAFE,ELIM,,,,,,,,,,,GUEST,GUEST,NA,NA,"Milwaukee, WI",Jaymes_Mansfield
NA,115,10,Aquaria,1st  (Winner),Giovanni Palandrani,21,SAFE,SAFE,SAFE,WIN Mini Chall. Winner,SAFE,SAFE,WIN,LOW,HIGH Mini Chall. Winner,LOW,WIN,TOP 4,RUNNING,WINNER,NA,NA,"Brooklyn, NY",Aquaria
